id,location,city,latitude,longitude,road_type,lighting_score,crowd_density_score,police_presence_score,cctv_coverage_score,historical_crime_count,emergency_access_score,crime_type,risk_score,risk_level,safe_route_score,safe_route_path,voice_detected,voice_phrase,voice_event_type,recommended_action
242,"College Road, Delhi",Delhi,28.639152,77.172245,College Road,7,3,1,8,95,6,Harassment,47.84,Medium,67.65,"28.642578,77.173983 -> 28.639861,77.169775 -> 28.637035,77.175369",True,help,Help,Trigger emergency alert and share location
243,"College Road, Hyderabad",Hyderabad,17.412277,78.485334,College Road,10,10,9,6,99,6,Robbery,24.39,Low,90.22,"17.407212,78.482657 -> 17.417056,78.482133 -> 17.412751,78.487853",True,call police,Emergency,Trigger emergency alert and share location
244,"Industrial Road, Mumbai",Mumbai,19.032078,72.884165,Industrial Road,4,6,8,6,55,3,None,37.84,Medium,78.25,"19.032109,72.891336 -> 19.027907,72.886812 -> 19.031646,72.886095 -> 19.033181,72.882332 -> 19.03265,72.87952 -> 19.033586,72.88491 -> 19.033675,72.88681",True,call my father,Relative,Notify selected relative
245,"Bus Stop Area, Chennai",Chennai,13.095567,80.275883,Bus Stop Area,2,2,4,2,48,3,Harassment,54.91,Medium,45.69,"13.093786,80.27885 -> 13.099158,80.275288 -> 13.095682,80.273621 -> 13.098499,80.277547 -> 13.10042,80.273687 -> 13.094622,80.276462",True,call my mother,Relative,Notify selected relative
246,"Main Road, Hyderabad",Hyderabad,17.407627,78.479152,Main Road,5,8,5,4,13,3,Harassment,32.52,Medium,72.41,"17.409831,78.480955 -> 17.405336,78.482541 -> 17.410552,78.479488",True,help me,Help,Trigger emergency alert and share location
247,"Residential Street, Delhi",Delhi,28.616686,77.228392,Residential Street,1,2,5,8,11,10,Sexual Harassment,37.66,Medium,66.93,"28.616761,77.223011 -> 28.618877,77.224488 -> 28.620445,77.227567 -> 28.616157,77.226823 -> 28.615966,77.231938 -> 28.610466,77.231584 -> 28.617531,77.225374",True,call my mother,Relative,Notify selected relative
248,"Railway Station Road, Visakhapatnam",Visakhapatnam,17.649164,83.277174,Railway Station Road,7,7,1,8,31,10,Stalking,28.57,Low,78.4,"17.646281,83.280017 -> 17.65001,83.274829 -> 17.649706,83.27461 -> 17.651916,83.279827 -> 17.650494,83.278078 -> 17.653567,83.277173 -> 17.646209,83.278298",True,help me,Help,Trigger emergency alert and share location
249,"Market Road, Vijayawada",Vijayawada,16.579212,80.612483,Market Road,5,5,4,7,18,2,None,36.95,Medium,72.14,"16.580253,80.612348 -> 16.576756,80.615288 -> 16.585012,80.612973 -> 16.576952,80.608611",True,call my father,Relative,Notify selected relative
250,"Industrial Road, Chennai",Chennai,13.091729,80.309336,Industrial Road,2,6,4,3,92,8,None,51.0,Medium,57.08,"13.091723,80.307863 -> 13.088999,80.311423 -> 13.094013,80.305472 -> 13.095704,80.310771 -> 13.095228,80.305981 -> 13.088314,80.308964 -> 13.092986,80.313827",True,dad,Relative,Notify selected relative
251,"Market Road, Hyderabad",Hyderabad,17.409713,78.478206,Market Road,5,1,6,5,79,7,None,46.66,Medium,58.71,"17.412788,78.475794 -> 17.413784,78.477495 -> 17.413689,78.479903 -> 17.409371,78.476908 -> 17.408861,78.479277",True,call my sister,Relative,Notify selected relative
252,"Railway Station Road, Vijayawada",Vijayawada,16.5089,80.627217,Railway Station Road,6,10,3,7,40,3,None,32.27,Medium,78.1,"16.509096,80.621895 -> 16.510045,80.624768 -> 16.506017,80.622999 -> 16.504415,80.623828 -> 16.507127,80.6321 -> 16.507585,80.627661",True,call my mother,Relative,Notify selected relative
253,"Bus Stop Area, Mumbai",Mumbai,19.090017,72.882287,Bus Stop Area,6,7,4,6,46,2,Theft,37.77,Medium,72.84,"19.087029,72.885914 -> 19.094535,72.87808 -> 19.087457,72.881587 -> 19.087606,72.883552 -> 19.088196,72.8877 -> 19.092993,72.882818 -> 19.092584,72.885052",True,save me,Help,Trigger emergency alert and share location
254,"Main Road, Vijayawada",Vijayawada,16.486462,80.619432,Main Road,8,4,7,4,88,2,None,42.64,Medium,70.45,"16.488616,80.61978 -> 16.48252,80.617425 -> 16.486277,80.619243 -> 16.491393,80.615967 -> 16.487726,80.623155 -> 16.492141,80.618421",True,call my sister,Relative,Notify selected relative
255,"Bus Stop Area, Chennai",Chennai,13.0999,80.290642,Bus Stop Area,5,3,6,6,9,8,Theft,30.98,Medium,81.2,"13.099653,80.291732 -> 13.093569,80.292347 -> 13.100215,80.290086 -> 13.105017,80.288955 -> 13.098892,80.295621 -> 13.09782,80.289267 -> 13.099532,80.292744",True,call my sister,Relative,Notify selected relative
256,"Main Road, Delhi",Delhi,28.621173,77.163758,Main Road,6,9,9,10,10,2,None,18.86,Low,94.78,"28.619655,77.163565 -> 28.622238,77.164804 -> 28.616733,77.166418 -> 28.621804,77.167219",True,call my mother,Relative,Notify selected relative
257,"Park Road, Visakhapatnam",Visakhapatnam,17.702347,83.257046,Park Road,6,7,1,0,12,5,Assault,39.18,Medium,68.45,"17.705713,83.258352 -> 17.702102,83.262727 -> 17.70457,83.25848 -> 17.699156,83.253825",True,mom,Relative,Notify selected relative
258,"Industrial Road, Bengaluru",Bengaluru,12.981845,77.599693,Industrial Road,6,7,7,10,75,9,Abduction,28.3,Low,83.93,"12.982197,77.603665 -> 12.983584,77.59684 -> 12.981566,77.597681 -> 12.980876,77.598659",True,call my mother,Relative,Notify selected relative
259,"Residential Street, Mumbai",Mumbai,19.059282,72.83377,Residential Street,5,7,1,1,93,3,None,54.8,Medium,49.77,"19.05788,72.826446 -> 19.064414,72.836492 -> 19.058341,72.833817 -> 19.056353,72.838009 -> 19.064025,72.834162",True,call police,Emergency,Trigger emergency alert and share location
260,"Industrial Road, Bengaluru",Bengaluru,13.007424,77.600735,Industrial Road,6,8,1,7,92,8,None,41.45,Medium,62.06,"13.006394,77.601065 -> 13.006288,77.600188 -> 13.007196,77.600533 -> 13.007555,77.598083 -> 13.005631,77.597524",True,help,Help,Trigger emergency alert and share location
261,"Main Road, Hyderabad",Hyderabad,17.419224,78.413002,Main Road,6,2,10,2,94,4,Theft,45.86,Medium,71.1,"17.42269,78.412247 -> 17.412716,78.412099 -> 17.419064,78.410476 -> 17.417936,78.416827 -> 17.420886,78.410691 -> 17.41523,78.412184 -> 17.41869,78.414242",True,help me,Help,Trigger emergency alert and share location
262,"Park Road, Pune",Pune,18.501664,73.874602,Park Road,8,4,6,10,23,3,None,27.3,Low,98.78,"18.503703,73.874482 -> 18.501206,73.87371 -> 18.504616,73.873034 -> 18.501777,73.87473 -> 18.50041,73.871171 -> 18.502471,73.874449",True,call my father,Relative,Notify selected relative
263,"Industrial Road, Bengaluru",Bengaluru,12.989108,77.575924,Industrial Road,10,7,6,0,90,4,Assault,38.41,Medium,78.7,"12.986916,77.580204 -> 12.984739,77.577011 -> 12.990297,77.573935 -> 12.990169,77.579123",True,call police,Emergency,Trigger emergency alert and share location
264,"Residential Street, Hyderabad",Hyderabad,17.307411,78.504296,Residential Street,9,3,5,5,25,8,Stalking,28.52,Low,72.21,"17.304997,78.508369 -> 17.305957,78.501361 -> 17.306916,78.509466",True,call police,Emergency,Trigger emergency alert and share location
265,"College Road, Mumbai",Mumbai,19.011891,72.840904,College Road,10,7,9,6,75,2,Sexual Harassment,28.3,Low,95.89,"19.016535,72.840645 -> 19.008793,72.846144 -> 19.015877,72.842601 -> 19.00986,72.840781 -> 19.01149,72.841731",True,call my mother,Relative,Notify selected relative
266,"Railway Station Road, Vijayawada",Vijayawada,16.556985,80.67878,Railway Station Road,10,10,1,10,17,6,None,18.61,Low,91.5,"16.560426,80.679563 -> 16.558703,80.682446 -> 16.554206,80.67869",True,save me,Help,Trigger emergency alert and share location
267,"College Road, Vijayawada",Vijayawada,16.487599,80.593125,College Road,3,9,6,6,76,3,Harassment,41.64,Medium,69.7,"16.493878,80.588525 -> 16.487518,80.594726 -> 16.487907,80.592842 -> 16.484351,80.593707 -> 16.485707,80.58765 -> 16.490585,80.595521 -> 16.487728,80.593698",True,call my father,Relative,Notify selected relative
268,"Market Road, Mumbai",Mumbai,19.113601,72.885552,Market Road,9,3,7,4,17,3,Theft,29.98,Low,88.04,"19.112857,72.888832 -> 19.114403,72.886037 -> 19.110426,72.886269 -> 19.111521,72.883956 -> 19.111563,72.882886",True,call my sister,Relative,Notify selected relative
269,"Main Road, Pune",Pune,18.594767,73.903297,Main Road,8,3,3,6,71,9,Stalking,38.57,Medium,83.13,"18.59171,73.903475 -> 18.591533,73.901558 -> 18.592472,73.906396 -> 18.593776,73.905968 -> 18.596277,73.909056 -> 18.591068,73.906445",True,call my father,Relative,Notify selected relative
270,"Industrial Road, Delhi",Delhi,28.654025,77.174932,Industrial Road,8,3,1,9,3,4,None,32.3,Medium,85.94,"28.654865,77.174363 -> 28.651965,77.173134 -> 28.65915,77.174934 -> 28.65598,77.172955 -> 28.652075,77.177637",False,none,No Alert,No action
271,"Market Road, Chennai",Chennai,13.035465,80.256168,Market Road,8,10,7,8,65,2,None,27.16,Low,88.51,"13.035743,80.25572 -> 13.036455,80.2579 -> 13.037302,80.253703 -> 13.034755,80.259155 -> 13.037702,80.252736 -> 13.036344,80.251222 -> 13.035582,80.260912",True,help,Help,Trigger emergency alert and share location
272,"Main Road, Pune",Pune,18.487224,73.827499,Main Road,8,9,3,6,13,4,Harassment,25.7,Low,90.22,"18.483367,73.825917 -> 18.488715,73.825913 -> 18.486634,73.829359 -> 18.488278,73.828166 -> 18.486376,73.828424",False,none,No Alert,No action
273,"Residential Street, Pune",Pune,18.516069,73.872723,Residential Street,8,2,3,3,94,10,Stalking,45.41,Medium,62.11,"18.515613,73.870248 -> 18.515981,73.870695 -> 18.513284,73.87337 -> 18.516601,73.87468 -> 18.514991,73.873743",True,dad,Relative,Notify selected relative
274,"Market Road, Vijayawada",Vijayawada,16.525478,80.663567,Market Road,4,4,0,9,44,9,Theft,41.55,Medium,63.83,"16.525851,80.664477 -> 16.525496,80.658351 -> 16.525879,80.669098 -> 16.524578,80.661747 -> 16.526411,80.664348",True,dad,Relative,Notify selected relative
275,"Railway Station Road, Pune",Pune,18.562146,73.812675,Railway Station Road,5,10,4,8,86,2,Sexual Harassment,40.05,Medium,75.21,"18.563622,73.81232 -> 18.562993,73.815249 -> 18.564327,73.809817 -> 18.564196,73.812513",True,call my father,Relative,Notify selected relative
276,"Market Road, Chennai",Chennai,13.085251,80.273262,Market Road,3,4,2,5,31,7,Theft,44.02,Medium,62.13,"13.08823,80.273053 -> 13.082452,80.272278 -> 13.085698,80.276335 -> 13.086759,80.271136 -> 13.091464,80.273924 -> 13.088439,80.272883",True,help me,Help,Trigger emergency alert and share location
277,"Park Road, Chennai",Chennai,13.101368,80.300081,Park Road,7,8,1,10,98,2,Assault,43.32,Medium,75.87,"13.104011,80.302261 -> 13.10058,80.298652 -> 13.1022,80.302414 -> 13.100811,80.302744 -> 13.105,80.29779 -> 13.099276,80.29973",True,mom,Relative,Notify selected relative
278,"Industrial Road, Pune",Pune,18.531166,73.83834,Industrial Road,8,6,9,0,99,2,Sexual Harassment,42.57,Medium,75.09,"18.532226,73.838439 -> 18.527576,73.83505 -> 18.531869,73.833009 -> 18.533698,73.837945 -> 18.539274,73.84411 -> 18.530712,73.838074",True,call my mother,Relative,Notify selected relative
279,"Bus Stop Area, Delhi",Delhi,28.648745,77.268611,Bus Stop Area,7,4,7,4,41,5,Theft,34.25,Medium,69.46,"28.644279,77.267056 -> 28.650202,77.269853 -> 28.651419,77.265612 -> 28.642955,77.270756 -> 28.646675,77.263565",True,mom,Relative,Notify selected relative
280,"College Road, Mumbai",Mumbai,19.081077,72.905461,College Road,1,1,1,10,100,8,Sexual Harassment,58.64,Medium,49.05,"19.079932,72.905063 -> 19.080151,72.902091 -> 19.07929,72.906764",True,help,Help,Trigger emergency alert and share location
281,"Industrial Road, Vijayawada",Vijayawada,16.517459,80.653882,Industrial Road,8,1,6,3,88,3,Sexual Harassment,48.09,Medium,58.43,"16.517005,80.648439 -> 16.517905,80.657454 -> 16.513774,80.652417 -> 16.518282,80.657014 -> 16.516338,80.652151",True,help me,Help,Trigger emergency alert and share location
282,"Residential Street, Chennai",Chennai,13.013788,80.27432,Residential Street,6,5,1,5,85,3,Stalking,50.8,Medium,68.21,"13.014481,80.274264 -> 13.014593,80.274292 -> 13.011755,80.276378",True,call my father,Relative,Notify selected relative
283,"Park Road, Bengaluru",Bengaluru,12.979502,77.595216,Park Road,2,2,0,3,61,2,None,62.43,High,36.39,"12.982761,77.596878 -> 12.97812,77.597721 -> 12.978258,77.593261 -> 12.977603,77.590788",True,dad,Relative,Notify selected relative
284,"Main Road, Mumbai",Mumbai,19.092504,72.81361,Main Road,1,6,1,6,88,3,None,58.09,Medium,41.27,"19.087315,72.813395 -> 19.092128,72.812793 -> 19.089898,72.810679 -> 19.093665,72.812234 -> 19.093295,72.811397 -> 19.092957,72.816868",True,help,Help,Trigger emergency alert and share location
285,"Residential Street, Hyderabad",Hyderabad,17.405516,78.472266,Residential Street,2,6,5,4,17,7,None,37.7,Medium,70.48,"17.404914,78.472286 -> 17.404702,78.471855 -> 17.406046,78.469783 -> 17.402976,78.468795",True,help me,Help,Trigger emergency alert and share location
286,"Market Road, Visakhapatnam",Visakhapatnam,17.630791,83.175895,Market Road,8,6,3,10,95,3,Stalking,40.11,Medium,75.58,"17.628559,83.177179 -> 17.630878,83.170974 -> 17.632428,83.177922 -> 17.628306,83.176945 -> 17.62865,83.176139 -> 17.62763,83.171412",True,dad,Relative,Notify selected relative
287,"Residential Street, Bengaluru",Bengaluru,12.958201,77.590269,Residential Street,2,3,1,9,93,7,None,54.8,Medium,51.62,"12.955241,77.589269 -> 12.958874,77.590157 -> 12.958657,77.588594 -> 12.96113,77.587329 -> 12.95942,77.593224",True,call my father,Relative,Notify selected relative
288,"Bus Stop Area, Vijayawada",Vijayawada,16.523032,80.640912,Bus Stop Area,5,2,3,8,76,10,Assault,43.45,Medium,65.0,"16.525622,80.637355 -> 16.520607,80.639918 -> 16.526126,80.641861 -> 16.520612,80.640136 -> 16.521496,80.639138 -> 16.525479,80.637483 -> 16.527054,80.642983",True,call police,Emergency,Trigger emergency alert and share location
289,"Railway Station Road, Visakhapatnam",Visakhapatnam,17.72498,83.202297,Railway Station Road,4,9,9,8,24,7,Robbery,22.0,Low,90.55,"17.721397,83.200985 -> 17.726214,83.205537 -> 17.722212,83.201383 -> 17.724602,83.198808 -> 17.726458,83.200487",False,none,No Alert,No action
290,"Industrial Road, Bengaluru",Bengaluru,12.964761,77.578782,Industrial Road,7,2,3,7,81,10,Sexual Harassment,41.52,Medium,66.53,"12.964743,77.578243 -> 12.963831,77.576961 -> 12.96556,77.582916",True,mom,Relative,Notify selected relative
291,"College Road, Visakhapatnam",Visakhapatnam,17.691696,83.253364,College Road,6,3,6,9,53,6,Assault,35.25,Medium,71.9,"17.69209,83.250621 -> 17.688004,83.251516 -> 17.694676,83.255739 -> 17.692304,83.249532 -> 17.691205,83.254118 -> 17.692135,83.248755 -> 17.68947,83.253204",True,help me,Help,Trigger emergency alert and share location
292,"Main Road, Hyderabad",Hyderabad,17.40377,78.409836,Main Road,10,2,0,4,27,1,Theft,42.48,Medium,67.51,"17.404128,78.41196 -> 17.405502,78.411292 -> 17.40177,78.405066",True,call my father,Relative,Notify selected relative
293,"Park Road, Delhi",Delhi,28.600143,77.244057,Park Road,7,2,10,8,68,10,None,29.0,Low,94.17,"28.601919,77.24513 -> 28.601092,77.242667 -> 28.599818,77.24823 -> 28.597787,77.248094",True,call police,Emergency,Trigger emergency alert and share location
294,"Bus Stop Area, Hyderabad",Hyderabad,17.373729,78.53309,Bus Stop Area,3,9,5,6,75,2,Assault,43.75,Medium,58.32,"17.375194,78.531248 -> 17.370191,78.533636 -> 17.376253,78.530978 -> 17.369981,78.53286 -> 17.37351,78.534461",True,call my father,Relative,Notify selected relative
295,"Main Road, Bengaluru",Bengaluru,13.004836,77.59252,Main Road,4,2,6,1,58,10,None,44.68,Medium,71.5,"13.005397,77.591654 -> 13.000807,77.591863 -> 13.003995,77.594921 -> 13.005992,77.589572 -> 13.005267,77.594199 -> 13.008656,77.594739 -> 13.006738,77.59267",False,none,No Alert,No action
296,"Residential Street, Vijayawada",Vijayawada,16.519791,80.691733,Residential Street,1,3,0,2,63,6,Robbery,60.48,High,35.06,"16.518917,80.689802 -> 16.520739,80.694809 -> 16.518299,80.685757 -> 16.51876,80.694017 -> 16.521135,80.692803 -> 16.519091,80.688535 -> 16.521079,80.689647",True,mom,Relative,Notify selected relative
297,"Market Road, Chennai",Chennai,13.159143,80.290668,Market Road,6,3,4,1,98,1,None,56.95,Medium,47.64,"13.157615,80.290436 -> 13.158544,80.29346 -> 13.159609,80.288839 -> 13.163869,80.290791 -> 13.161065,80.289147",True,call my father,Relative,Notify selected relative
298,"Railway Station Road, Hyderabad",Hyderabad,17.397709,78.497589,Railway Station Road,10,2,7,7,65,6,Sexual Harassment,31.7,Medium,75.25,"17.402747,78.500816 -> 17.396716,78.494833 -> 17.398578,78.497806",True,call my sister,Relative,Notify selected relative
299,"College Road, Vijayawada",Vijayawada,16.518648,80.654705,College Road,3,5,1,9,86,2,None,53.68,Medium,58.05,"16.522266,80.656125 -> 16.516024,80.658111 -> 16.52275,80.662585 -> 16.515839,80.655312",True,mom,Relative,Notify selected relative
300,"Bus Stop Area, Visakhapatnam",Visakhapatnam,17.613927,83.23786,Bus Stop Area,1,8,5,6,19,3,Robbery,38.93,Medium,65.83,"17.618736,83.235923 -> 17.609704,83.236682 -> 17.608988,83.239738",True,mom,Relative,Notify selected relative
301,"Bus Stop Area, Delhi",Delhi,28.541622,77.209996,Bus Stop Area,6,4,6,5,34,2,None,38.14,Medium,62.77,"28.540821,77.214104 -> 28.542524,77.207837 -> 28.541544,77.210041 -> 28.542804,77.206579 -> 28.543103,77.203235 -> 28.540047,77.208775 -> 28.543205,77.210053",True,call my mother,Relative,Notify selected relative
302,"Market Road, Visakhapatnam",Visakhapatnam,17.637605,83.184025,Market Road,4,9,0,6,8,8,None,32.64,Medium,75.76,"17.637407,83.182577 -> 17.636403,83.185765 -> 17.636311,83.183805 -> 17.64303,83.180466 -> 17.632975,83.185984",True,call police,Emergency,Trigger emergency alert and share location
303,"Main Road, Mumbai",Mumbai,19.052247,72.866562,Main Road,6,4,4,9,100,5,Harassment,45.0,Medium,64.19,"19.051597,72.870558 -> 19.054252,72.868718 -> 19.048706,72.863684 -> 19.045149,72.864539 -> 19.054639,72.867854 -> 19.051693,72.866506 -> 19.050525,72.867074",True,save me,Help,Trigger emergency alert and share location
304,"Bus Stop Area, Mumbai",Mumbai,19.102806,72.821144,Bus Stop Area,9,4,2,0,52,1,None,46.45,Medium,63.24,"19.105137,72.820106 -> 19.104558,72.828181 -> 19.102545,72.822127 -> 19.100961,72.821597",True,mom,Relative,Notify selected relative
305,"College Road, Visakhapatnam",Visakhapatnam,17.70291,83.225319,College Road,1,7,4,1,26,9,Harassment,41.86,Medium,56.54,"17.703426,83.228974 -> 17.704032,83.227724 -> 17.702317,83.227194 -> 17.703608,83.222942",True,call my father,Relative,Notify selected relative
306,"Market Road, Visakhapatnam",Visakhapatnam,17.697948,83.183791,Market Road,5,2,0,3,66,7,Abduction,53.23,Medium,49.71,"17.698421,83.184534 -> 17.694975,83.186426 -> 17.699378,83.182029 -> 17.694104,83.183429 -> 17.696833,83.184074",True,call my sister,Relative,Notify selected relative
307,"Residential Street, Hyderabad",Hyderabad,17.372291,78.416439,Residential Street,9,3,10,6,9,10,Harassment,16.43,Low,98.03,"17.371527,78.418023 -> 17.370546,78.420636 -> 17.367512,78.419717 -> 17.37173,78.418588 -> 17.372491,78.419288 -> 17.371323,78.413692 -> 17.375842,78.416155",False,none,No Alert,No action
308,"Bus Stop Area, Vijayawada",Vijayawada,16.513955,80.691216,Bus Stop Area,5,5,5,6,89,6,None,44.16,Medium,61.38,"16.515444,80.689741 -> 16.513625,80.691397 -> 16.510204,80.689269 -> 16.517333,80.693431 -> 16.513798,80.691824",True,call my sister,Relative,Notify selected relative
309,"Bus Stop Area, Hyderabad",Hyderabad,17.374702,78.53418,Bus Stop Area,3,10,1,2,13,3,None,40.7,Medium,62.59,"17.375282,78.537045 -> 17.372759,78.538077 -> 17.370876,78.538254 -> 17.37377,78.533573 -> 17.369977,78.533043 -> 17.372102,78.532661",True,call my sister,Relative,Notify selected relative
310,"College Road, Hyderabad",Hyderabad,17.380194,78.520223,College Road,4,8,4,7,33,2,Robbery,37.07,Medium,74.07,"17.380963,78.517484 -> 17.377992,78.52472 -> 17.378356,78.524364",True,help me,Help,Trigger emergency alert and share location
311,"Main Road, Chennai",Chennai,13.074193,80.27078,Main Road,4,6,2,1,91,4,Theft,55.39,Medium,54.87,"13.077373,80.270503 -> 13.073222,80.27064 -> 13.075038,80.273008 -> 13.074204,80.272327 -> 13.078289,80.271733",True,call my father,Relative,Notify selected relative
312,"Railway Station Road, Chennai",Chennai,13.093608,80.217538,Railway Station Road,3,1,6,7,71,9,Harassment,45.39,Medium,51.76,"13.094579,80.217301 -> 13.092321,80.218147 -> 13.093457,80.220357 -> 13.093823,80.215671",True,help,Help,Trigger emergency alert and share location
313,"Residential Street, Vijayawada",Vijayawada,16.540856,80.6404,Residential Street,1,1,3,2,25,7,Theft,52.16,Medium,54.17,"16.539662,80.638775 -> 16.541066,80.640432 -> 16.542056,80.639728 -> 16.536265,80.639318 -> 16.542841,80.639657",True,help,Help,Trigger emergency alert and share location
314,"Residential Street, Chennai",Chennai,13.074077,80.305223,Residential Street,1,2,3,10,56,3,None,52.09,Medium,53.65,"13.07022,80.304821 -> 13.072867,80.302807 -> 13.073639,80.306452",True,call my mother,Relative,Notify selected relative
315,"Main Road, Mumbai",Mumbai,19.075675,72.888444,Main Road,3,10,6,6,63,1,None,40.02,Medium,78.64,"19.074818,72.88914 -> 19.074402,72.886328 -> 19.074213,72.887247 -> 19.076574,72.894317 -> 19.073885,72.887402 -> 19.075517,72.889433",True,call my father,Relative,Notify selected relative
316,"Market Road, Bengaluru",Bengaluru,12.980824,77.639543,Market Road,5,5,7,2,4,10,None,27.91,Low,68.86,"12.974857,77.638303 -> 12.983567,77.635629 -> 12.973305,77.640971 -> 12.981433,77.636817 -> 12.97836,77.637119 -> 12.9811,77.637977 -> 12.982059,77.632406",True,dad,Relative,Notify selected relative
317,"Industrial Road, Chennai",Chennai,13.05271,80.231288,Industrial Road,7,9,7,0,11,5,Harassment,26.3,Low,81.52,"13.051365,80.233283 -> 13.048062,80.231402 -> 13.054106,80.23593 -> 13.051506,80.232099 -> 13.0482,80.225308 -> 13.054822,80.231274",True,help me,Help,Trigger emergency alert and share location
318,"Main Road, Bengaluru",Bengaluru,13.012848,77.546531,Main Road,7,6,7,8,100,8,Theft,34.55,Medium,82.75,"13.01752,77.54758 -> 13.013539,77.546552 -> 13.008921,77.54992 -> 13.011321,77.547792 -> 13.00894,77.543582",True,dad,Relative,Notify selected relative
319,"Railway Station Road, Delhi",Delhi,28.664128,77.196844,Railway Station Road,3,1,5,9,28,1,Robbery,45.36,Medium,73.1,"28.663932,77.192239 -> 28.666358,77.195369 -> 28.665875,77.196907 -> 28.66027,77.197255 -> 28.669619,77.198076",False,none,No Alert,No action
320,"College Road, Mumbai",Mumbai,19.073987,72.915337,College Road,10,4,2,1,31,4,Robbery,37.66,Medium,73.09,"19.074511,72.912608 -> 19.074572,72.917926 -> 19.071897,72.918898 -> 19.073758,72.913118 -> 19.076481,72.91462",True,mom,Relative,Notify selected relative
321,"Bus Stop Area, Visakhapatnam",Visakhapatnam,17.713383,83.208288,Bus Stop Area,10,7,5,2,22,4,Robbery,27.14,Low,84.46,"17.714617,83.209015 -> 17.708394,83.205485 -> 17.715707,83.207958 -> 17.712074,83.204892 -> 17.710684,83.203234 -> 17.71313,83.206792 -> 17.710967,83.208118",True,call my mother,Relative,Notify selected relative
322,"Main Road, Pune",Pune,18.533139,73.929962,Main Road,6,10,9,2,72,4,None,32.82,Medium,70.32,"18.536037,73.932395 -> 18.531191,73.93047 -> 18.531995,73.930426 -> 18.536912,73.931476 -> 18.534411,73.928886 -> 18.529429,73.929441",True,mom,Relative,Notify selected relative
323,"Main Road, Mumbai",Mumbai,19.118231,72.824249,Main Road,2,1,3,9,28,1,None,49.91,Medium,54.22,"19.118547,72.821787 -> 19.11625,72.82319 -> 19.114817,72.821814 -> 19.11999,72.820981 -> 19.114236,72.822674 -> 19.120061,72.823757 -> 19.11707,72.82436",True,call my sister,Relative,Notify selected relative
324,"Market Road, Bengaluru",Bengaluru,12.9105,77.611915,Market Road,6,3,5,0,2,3,Assault,39.41,Medium,69.81,"12.909477,77.61443 -> 12.907681,77.614735 -> 12.910886,77.611074 -> 12.91045,77.611647 -> 12.913551,77.609223 -> 12.908594,77.614506 -> 12.909011,77.614166",True,help me,Help,Trigger emergency alert and share location
325,"Residential Street, Pune",Pune,18.57988,73.842637,Residential Street,6,7,9,1,43,5,Abduction,32.3,Medium,81.11,"18.576996,73.844524 -> 18.580379,73.84382 -> 18.578266,73.838484 -> 18.581138,73.837478 -> 18.579087,73.84499",True,help me,Help,Trigger emergency alert and share location
326,"Industrial Road, Delhi",Delhi,28.620616,77.277192,Industrial Road,6,3,8,9,100,6,Robbery,40.0,Medium,80.23,"28.618981,77.27726 -> 28.620498,77.273237 -> 28.618265,77.27579 -> 28.615525,77.277311",True,dad,Relative,Notify selected relative
327,"Railway Station Road, Delhi",Delhi,28.605182,77.150449,Railway Station Road,5,3,2,0,89,10,None,52.8,Medium,54.23,"28.606972,77.151017 -> 28.604372,77.151928 -> 28.606883,77.151218 -> 28.60312,77.151141 -> 28.608171,77.148957 -> 28.610427,77.149135",True,dad,Relative,Notify selected relative
328,"Bus Stop Area, Pune",Pune,18.521534,73.833163,Bus Stop Area,10,2,7,2,42,2,Abduction,36.23,Medium,77.79,"18.517178,73.831798 -> 18.518804,73.833501 -> 18.52402,73.834778 -> 18.515605,73.838268",True,call my mother,Relative,Notify selected relative
329,"Residential Street, Vijayawada",Vijayawada,16.516535,80.620823,Residential Street,6,8,0,4,26,4,None,38.68,Medium,69.7,"16.516975,80.619156 -> 16.51703,80.619304 -> 16.515524,80.619107",True,call my mother,Relative,Notify selected relative
330,"Main Road, Hyderabad",Hyderabad,17.334857,78.491804,Main Road,1,7,7,6,21,7,Harassment,34.25,Medium,77.18,"17.336144,78.493854 -> 17.335668,78.490472 -> 17.336956,78.48841 -> 17.332605,78.489393 -> 17.337557,78.494161 -> 17.336075,78.494484",True,call my father,Relative,Notify selected relative
331,"Residential Street, Delhi",Delhi,28.583125,77.221201,Residential Street,8,10,10,10,28,3,Robbery,14.45,Low,100.0,"28.585242,77.220913 -> 28.582163,77.222553 -> 28.585315,77.21953 -> 28.582972,77.218555 -> 28.57688,77.221702 -> 28.584647,77.221856",True,help,Help,Trigger emergency alert and share location
332,"Railway Station Road, Visakhapatnam",Visakhapatnam,17.618565,83.20622,Railway Station Road,1,6,4,1,9,6,None,43.25,Medium,49.16,"17.621989,83.203505 -> 17.621704,83.208585 -> 17.616314,83.203388 -> 17.619441,83.204109",True,call my father,Relative,Notify selected relative
333,"Residential Street, Hyderabad",Hyderabad,17.388587,78.469801,Residential Street,6,10,9,7,90,1,Theft,33.86,Medium,71.43,"17.383011,78.470368 -> 17.387183,78.468418 -> 17.390327,78.472735 -> 17.387906,78.46895 -> 17.389837,78.466409 -> 17.389145,78.471181",True,help me,Help,Trigger emergency alert and share location
